Beer,Brewery,Style,ABV,IBU,Comments,Venue,Venue City,Venue Region,Venue Lat,Venue Lng,Score,Date,Checkin URL,Beer URL,Brewery URL,Beer Country
"Crafty Dan 13 Guns","Thwaites Brewery","American IPA",5.5,0,"In THE PUB BEHIND MY HOUSE","The Red Lion",Coleshill,Warwickshire,52.4955,-1.70522,4.5,"2014-03-21 13:15:43",https://untappd.com/c/74916317,https://untappd.com/beer/67679,https://untappd.com/brewery/4609,England
"05/05 IPA Simcoe Chinook","Brew By Numbers","American IPA",7.3,0,,,,,,,4.5,"2014-03-21 20:56:07",https://untappd.com/c/74969818,https://untappd.com/beer/596477,https://untappd.com/brewery/50834,England
"London Sour Blackcurrant","Brodie's Brewery","Berliner Weisse",3.7,0,,,,,,,3,"2014-03-21 23:25:59",https://untappd.com/c/75023981,https://untappd.com/beer/533536,https://untappd.com/brewery/12784,England
"How To Disappear Completely",BrewDog,"English Mild Ale",2.8,35,,,,,,,4.5,"2014-03-21 23:50:31",https://untappd.com/c/75035362,https://untappd.com/beer/46219,https://untappd.com/brewery/241,Scotland
"IPA Is Dead Simcoe",BrewDog,"American IPA",7.2,75,GRAPEFRUIT!,,,,,,5,"2014-03-21 23:52:22",https://untappd.com/c/75036328,https://untappd.com/beer/128808,https://untappd.com/brewery/241,Scotland
"01/07 Saison Nelson Sauvin","Brew By Numbers","Saison / Farmhouse Ale",6,0,"This is wonderful",,,,,,4.5,"2014-03-25 20:42:35",https://untappd.com/c/75850536,https://untappd.com/beer/570045,https://untappd.com/brewery/50834,England
"Holy Hoppin' Hell pt2","Weird Beard Brew Co.","Imperial / Double IPA",9.7,0,"Lovely. Great balance between sweet and hoppy",,,,,,4,"2014-03-25 21:26:31",https://untappd.com/c/75855685,https://untappd.com/beer/429563,https://untappd.com/brewery/30704,England
"Tilting Ale","Redwillow Brewery","English Pale Ale",4.1,0,"Couldn't get to the Euston Tap in time to get my train. This is perfectly serviceable though.",,,,,,3.5,"2014-03-28 18:22:46",https://untappd.com/c/76276913,https://untappd.com/beer/389210,https://untappd.com/brewery/11038,England
"Punchline Chipotle","Magic Rock Brewing",Porter,5.4,0,"Too much after a big meal",,,,,,3,"2014-03-29 22:20:42",https://untappd.com/c/76650322,https://untappd.com/beer/524771,https://untappd.com/brewery/13156,England
"Speyside Siberia","Ilkley Brewery Co.","Saison / Farmhouse Ale",8.8,0,"Saison aged in whisky barrels. IT MAKES SO MUCH SENSE!",,,,,,5,"2014-03-29 22:24:44",https://untappd.com/c/76651838,https://untappd.com/beer/423291,https://untappd.com/brewery/6766,England
"Crafty Dan Triple C","Thwaites Brewery","Golden Ale",5.3,0,,,,,,,4,"2014-03-30 20:54:18",https://untappd.com/c/76904309,https://untappd.com/beer/461569,https://untappd.com/brewery/4609,England
"Punk IPA",BrewDog,"American IPA",5.6,45,,,,,,,4,"2014-03-30 21:43:12",https://untappd.com/c/76916908,https://untappd.com/beer/5702,https://untappd.com/brewery/241,Scotland
Sourdough,"The Wild Beer Co","Sour Ale",3.6,0,"Pokey. In a good way.","Brewdog Birmingham",Birmingham,"West Midlands",52.4771,-1.90151,4,"2014-04-04 21:03:52",https://untappd.com/c/77617782,https://untappd.com/beer/514918,https://untappd.com/brewery/41559,England
"Epic Saison","The Wild Beer Co","Saison / Farmhouse Ale",5,0,,,,,,,4,"2014-04-04 21:51:18",https://untappd.com/c/77627293,https://untappd.com/beer/259506,https://untappd.com/brewery/41559,England
"English Roots","The Wild Beer Co","English Brown Ale",4.8,0,"Wow. Parsnips and acorns. Amaze.",,,,,,4.5,"2014-04-04 22:30:45",https://untappd.com/c/77637056,https://untappd.com/beer/539732,https://untappd.com/brewery/41559,England
"Five AM Red Ale",BrewDog,"American Amber / Red Ale",5,25,,,,,,,5,"2014-04-04 23:48:47",https://untappd.com/c/77663690,https://untappd.com/beer/6976,https://untappd.com/brewery/241,Scotland
"Früh Kölsch","Cölner Hofbräu Früh",Kölsch,4.8,0,,,,,,,4.5,"2014-04-05 19:27:55",https://untappd.com/c/77888826,https://untappd.com/beer/1639,https://untappd.com/brewery/386,Germany
"Four Oaks Blonde","The Backyard Brewhouse","Blonde Ale",4.1,0,,,,,,,3.5,"2014-04-06 15:13:52",https://untappd.com/c/78192791,https://untappd.com/beer/640440,https://untappd.com/brewery/28686,England
"Limoncello IPA / Lemon Cello IPA","Siren Craft Brew","Imperial / Double IPA",9.1,0,"New batch from @cotteridgewines. A lot mellower, but just as tasty.",,,,,,5,"2014-04-06 20:22:10",https://untappd.com/c/78237162,https://untappd.com/beer/357993,https://untappd.com/brewery/55184,England
"Pale Ale Centennial Mosaic","The Kernel Brewery","American Pale Ale",5.5,0,,,,,,,4.5,"2014-04-10 20:09:43",https://untappd.com/c/78839627,https://untappd.com/beer/557048,https://untappd.com/brewery/3376,England
"Black Jesus","Great Heck Brewing Co Ltd","Black IPA / Cascadian Dark Ale",6.5,0,"Starts with toffee and caramel and then drops down to a light smoky finish",,,,,,4,"2014-04-10 21:10:34",https://untappd.com/c/78846224,https://untappd.com/beer/401096,https://untappd.com/brewery/2364,England
Näcken,"Siren Craft Brew",Hefeweizen,6.4,0,,,,,,,3.5,"2014-04-11 21:11:06",https://untappd.com/c/79033860,https://untappd.com/beer/455932,https://untappd.com/brewery/55184,England
"The William Weston",Pezbraü,"Black IPA / Cascadian Dark Ale",7.5,75,"Second to last one!",,,,,,4.5,"2014-04-11 21:11:39",https://untappd.com/c/79033974,https://untappd.com/beer/601332,https://untappd.com/brewery/50721,England
"Black Pike","Clouded Minds Brewery","Black IPA / Cascadian Dark Ale",6.1,0,Meh.,,,,,,3,"2014-04-16 22:10:14",https://untappd.com/c/80070307,https://untappd.com/beer/528851,https://untappd.com/brewery/95848,England
"Bourbon Baby",BrewDog,"Scottish Export Ale",5.8,50,,,,,,,4,"2014-04-18 21:38:32",https://untappd.com/c/80446555,https://untappd.com/beer/594251,https://untappd.com/brewery/241,Scotland
"Rogue Wave","Cromarty Brewing Co.","American Pale Ale",5.7,0,"Pretty decent",,,,,,3.5,"2014-04-18 22:57:00",https://untappd.com/c/80470241,https://untappd.com/beer/184074,https://untappd.com/brewery/21199,Scotland
"Jacob's Ladder","Buxton Brewery","English Pale Ale",2.7,0,"Lovely, given the ABV",,,,,,4,"2014-04-18 23:23:30",https://untappd.com/c/80479979,https://untappd.com/beer/414148,https://untappd.com/brewery/3461,England
"Longhorn IPA","Purity Brewing Co. (England)","American IPA",5,0,"Lovely. Just the right balance of chewy toffee malt and herbal hops and citrus hops",,,,,,4.5,"2014-04-19 22:20:46",https://untappd.com/c/80781638,https://untappd.com/beer/471463,https://untappd.com/brewery/1536,England
"Original Oak Aged Beer","Innis & Gunn","Scottish Export Ale",6.6,18,"Been a while since I had this, but at £1.29 at Morrison's I couldn't resist. Not as sweet as I remember.",,,,,,3.5,"2014-04-20 20:22:02",https://untappd.com/c/81054036,https://untappd.com/beer/24675,https://untappd.com/brewery/1673,Scotland
"Pale Ale Centennial Mosaic","The Kernel Brewery","American Pale Ale",5.5,0,,,,,,,4.5,"2014-04-20 21:02:26",https://untappd.com/c/81065982,https://untappd.com/beer/557048,https://untappd.com/brewery/3376,England
"Nord Sekt","Buxton Brewery","Berliner Weisse",2.9,0,"A fine train beer. Just a touch of pokey egginess cutting through the sourness from the lacto. Lovely.",,,,,,3.5,"2014-04-23 17:01:16",https://untappd.com/c/81468818,https://untappd.com/beer/236504,https://untappd.com/brewery/3461,England
"Gamma Ray",Beavertown,"American Pale Ale",5.4,45,,,,,,,4.5,"2014-04-23 21:04:21",https://untappd.com/c/81485895,https://untappd.com/beer/237500,https://untappd.com/brewery/24735,England
"The Hoard","The Backyard Brewhouse","Golden Ale",3.9,0,,,,,,,4,"2014-04-25 12:56:09",https://untappd.com/c/81782597,https://untappd.com/beer/68849,https://untappd.com/brewery/28686,England
Citra,"Oakham Ales","American Pale Ale",4.2,0,"It's been a while. Excellent as ever",,,,,,5,"2014-04-26 21:19:37",https://untappd.com/c/82171660,https://untappd.com/beer/14646,https://untappd.com/brewery/931,England
"Classic Collection - Brilliant Ale","Shepherd Neame","Golden Ale",5.6,0,"Shepherd Neame are doing some good stuff at the mo.",,,,,,4,"2014-04-26 21:37:58",https://untappd.com/c/82180225,https://untappd.com/beer/351048,https://untappd.com/brewery/1132,England
"Torpedo Extra IPA","Sierra Nevada Brewing Co.","American IPA",7.2,65,YEEEES!,,,,,,5,"2014-04-26 22:29:18",https://untappd.com/c/82204199,https://untappd.com/beer/4997,https://untappd.com/brewery/1142,"United States"
"Scarlet Macaw","Oakham Ales","English Pale Ale",4.4,0,,,,,,,4,"2014-04-27 20:57:13",https://untappd.com/c/82502635,https://untappd.com/beer/52694,https://untappd.com/brewery/931,England
Grisette,"Sly Fox Brewing Company","Saison / Farmhouse Ale",5.6,0,"Train beer. Nice to have a saison in a can.",,,,,,4,"2014-04-30 16:47:11",https://untappd.com/c/82904297,https://untappd.com/beer/9948,https://untappd.com/brewery/3865,"United States"
"Dalston Black IPA","Brodie's Brewery","Black IPA / Cascadian Dark Ale",7,0,,,,,,,4,"2014-04-30 19:18:00",https://untappd.com/c/82914713,https://untappd.com/beer/99331,https://untappd.com/brewery/12784,England
"Bourbon Baby",BrewDog,"Scottish Export Ale",5.8,50,,,,,,,4,"2014-04-30 19:50:53",https://untappd.com/c/82917899,https://untappd.com/beer/594251,https://untappd.com/brewery/241,Scotland
Jaipur,"Thornbridge Brewery","English IPA",5.9,55,,,,,,,5,"2014-05-01 21:11:46",https://untappd.com/c/83089603,https://untappd.com/beer/7705,https://untappd.com/brewery/2047,England
"Aecht Schlenkerla Rauchbier - Weizen","Brauerei Schlenkerla",Rauchbier,5.2,0,,,,,,,3.5,"2014-05-01 21:47:26",https://untappd.com/c/83094382,https://untappd.com/beer/472,https://untappd.com/brewery/2001,Germany
"Buxton SPA","Buxton Brewery","English Pale Ale",4.1,0,"Lovely session beer",,,,,,4.5,"2014-05-02 20:57:49",https://untappd.com/c/83283071,https://untappd.com/beer/12883,https://untappd.com/brewery/3461,England
Mikkellerberger,Mikkeller,"American Pale Ale",5.2,0,"First Mikkeller beer I've liked in some time","Brewdog Birmingham",Birmingham,"West Midlands",52.4771,-1.90151,4.5,"2014-05-02 21:53:49",https://untappd.com/c/83295358,https://untappd.com/beer/620196,https://untappd.com/brewery/2813,Denmark
Mikkellerberger,Mikkeller,"American Pale Ale",5.2,0,"So good I had it twice",,,,,,4.5,"2014-05-02 23:10:08",https://untappd.com/c/83318359,https://untappd.com/beer/620196,https://untappd.com/brewery/2813,Denmark
"Blitz! Raspberry",BrewDog,"Berliner Weisse",3.4,0,,,,,,,4,"2014-05-02 23:12:19",https://untappd.com/c/83319080,https://untappd.com/beer/474191,https://untappd.com/brewery/241,Scotland
"Dalston Black IPA","Brodie's Brewery","Black IPA / Cascadian Dark Ale",7,0,,,,,,,4,"2014-05-02 23:52:25",https://untappd.com/c/83334698,https://untappd.com/beer/99331,https://untappd.com/brewery/12784,England
"Westmalle Trappist Dubbel","Brouwerij der Trappisten van Westmalle","Belgian Dubbel",7,0,,,,,,,3.5,"2014-05-03 21:20:00",https://untappd.com/c/83619524,https://untappd.com/beer/4168,https://untappd.com/brewery/262,Belgium
Citra,"Oakham Ales","American Pale Ale",4.2,0,"All day",,,,,,5,"2014-05-03 21:22:24",https://untappd.com/c/83620524,https://untappd.com/beer/14646,https://untappd.com/brewery/931,England
"Mariana Trench","Weird Beard Brew Co.","American Pale Ale",5.4,0,,,,,,,4,"2014-05-03 22:07:41",https://untappd.com/c/83640494,https://untappd.com/beer/331239,https://untappd.com/brewery/30704,England
"Crafty Dan 13 Guns","Thwaites Brewery","American IPA",5.5,0,,"The Red Lion",Coleshill,Warwickshire,52.4955,-1.70522,4.5,"2014-05-04 17:56:03",https://untappd.com/c/83896939,https://untappd.com/beer/67679,https://untappd.com/brewery/4609,England
"Export Stout London 1890","The Kernel Brewery","Foreign / Export Stout",7.2,0,"Wow. Prunes, chocolate and a hint of vanilla. Amazing.",,,,,,4.5,"2014-05-04 21:23:49",https://untappd.com/c/83946214,https://untappd.com/beer/13241,https://untappd.com/brewery/3376,England
Automaton,"Salopian Brewery","English IPA",7,0,"Interesting interplay between spicy saaz and lemony citra",,,,,,4,"2014-05-04 22:16:34",https://untappd.com/c/83962283,https://untappd.com/beer/333759,https://untappd.com/brewery/1096,England
"All Day IPA (Session Ale)","Founders Brewing Co.","American IPA",4.7,42,"Lovely and hoppy on the nose. Slightly dry finish.",,,,,,4,"2014-05-07 16:58:12",https://untappd.com/c/84374712,https://untappd.com/beer/36834,https://untappd.com/brewery/549,"United States"
"Hook Island Red","The Five Points Brewing Company","Rye Beer",6,48,"Chocolate, cherries and sherbert, and a touch of spiciness from the rye.",,,,,,3.5,"2014-05-07 21:23:03",https://untappd.com/c/84393681,https://untappd.com/beer/405265,https://untappd.com/brewery/56204,England
Quirkafleeg,Pezbraü,Hefeweizen,5.2,0,"Found a bottle!",,,,,,4.5,"2014-05-08 21:05:59",https://untappd.com/c/84541014,https://untappd.com/beer/529759,https://untappd.com/brewery/50721,England
"Tramp Stamp","Clown Shoes","Belgian IPA",7,0,"Not so keen on the artwork, but this is a nice drop. Yeast character is much less pronounced than othe Belgian IPAs I've had",,,,,,4,"2014-05-08 21:23:39",https://untappd.com/c/84543369,https://untappd.com/beer/27801,https://untappd.com/brewery/7583,"United States"
"Saison Dupont","Brasserie Dupont","Saison / Farmhouse Ale",6.5,0,"Saison to put hairs on your chest",,,,,,4,"2014-05-08 22:16:04",https://untappd.com/c/84550553,https://untappd.com/beer/8073,https://untappd.com/brewery/189,Belgium
"11/02 Motueka & Centennial","Brew By Numbers","American Pale Ale",4.2,0,Quaffable,,,,,,4,"2014-05-09 21:14:07",https://untappd.com/c/84735017,https://untappd.com/beer/636395,https://untappd.com/brewery/50834,England
"Fanny Parkes Anglo Indian Pale Ale",Pezbraü,"English IPA",4.9,52,"Probably a touch too much amber malt, but lots going on here. Pretty pleased :)",,,,,,4,"2014-05-09 22:09:30",https://untappd.com/c/84747386,https://untappd.com/beer/674487,https://untappd.com/brewery/50721,England
Sentinel,"Salopian Brewery","Imperial / Double IPA",8.4,0,,,,,,,3.5,"2014-05-09 22:18:56",https://untappd.com/c/84749823,https://untappd.com/beer/595137,https://untappd.com/brewery/1096,England
Bitter,"Banks's Beer","English Bitter",3.8,0,"When in Rowam",,,,,,2.5,"2014-05-10 17:17:17",https://untappd.com/c/84977075,https://untappd.com/beer/21345,https://untappd.com/brewery/11798,England
"ASDA Whitechapel Porter","Shepherd Neame",Porter,5.2,0,"Perfectly drinkable, and some nice chocolate notes and a touch of smokiness. Just a bit, well, safe.",,,,,,3.5,"2014-05-10 21:36:39",https://untappd.com/c/85066716,https://untappd.com/beer/30458,https://untappd.com/brewery/1132,England
"Limoncello IPA / Lemon Cello IPA","Siren Craft Brew","Imperial / Double IPA",9.1,0,,,,,,,5,"2014-05-10 22:22:57",https://untappd.com/c/85088642,https://untappd.com/beer/357993,https://untappd.com/brewery/55184,England
"All Day IPA (Session Ale)","Founders Brewing Co.","American IPA",4.7,42,,,,,,,4,"2014-05-14 17:02:30",https://untappd.com/c/85794656,https://untappd.com/beer/36834,https://untappd.com/brewery/549,"United States"
"Dale's Pale Ale","Oskar Blues Brewery","American Pale Ale",6.5,65,"Ooooh, it's a beaut",,,,,,5,"2014-05-14 21:44:24",https://untappd.com/c/85818224,https://untappd.com/beer/10759,https://untappd.com/brewery/956,"United States"
"Saison Dupont","Brasserie Dupont","Saison / Farmhouse Ale",6.5,0,,,,,,,4.5,"2014-05-15 20:47:25",https://untappd.com/c/85978821,https://untappd.com/beer/8073,https://untappd.com/brewery/189,Belgium
IPA,"Fourpure Brewing Co","American IPA",6.5,65,"Serviceable fruity IPA",,,,,,3.5,"2014-05-15 21:54:25",https://untappd.com/c/85987943,https://untappd.com/beer/508286,https://untappd.com/brewery/86957,England
"Green Devil IPA","Oakham Ales","American IPA",6,0,Boom,,,,,,4.5,"2014-05-15 21:54:36",https://untappd.com/c/85988005,https://untappd.com/beer/127729,https://untappd.com/brewery/931,England
"Pale Ale","Joule's Brewery","English Pale Ale",4.1,0,,,,,,,4,"2014-05-16 13:11:47",https://untappd.com/c/86141767,https://untappd.com/beer/77300,https://untappd.com/brewery/3558,England
"Strisselspalt Spring","Joule's Brewery","Blonde Ale",3.8,0,,,,,,,3,"2014-05-16 13:40:21",https://untappd.com/c/86142611,https://untappd.com/beer/609108,https://untappd.com/brewery/3558,England
"Jasmine IPA",BrewDog,"American IPA",5.8,0,,,,,,,4,"2014-05-16 20:49:26",https://untappd.com/c/86184710,https://untappd.com/beer/641403,https://untappd.com/brewery/241,Scotland
"Blitz! Cherry",BrewDog,"Berliner Weisse",2.2,0,"Loves me a Berliner Weisse, bit this isn't hitting the spot as much",,,,,,3.5,"2014-05-16 21:21:41",https://untappd.com/c/86191349,https://untappd.com/beer/575339,https://untappd.com/brewery/241,Scotland
"Libertine Black Ale",BrewDog,"Black IPA / Cascadian Dark Ale",7.2,65,,,,,,,4.5,"2014-05-16 22:55:26",https://untappd.com/c/86217579,https://untappd.com/beer/158573,https://untappd.com/brewery/241,Scotland
"Bacon Chinook IPA","Brodie's Brewery","Smoked Beer",6,0,"Nice balance between the fruity chinook and the smoky bacon",,,,,,4,"2014-05-16 23:01:21",https://untappd.com/c/86220240,https://untappd.com/beer/607446,https://untappd.com/brewery/12784,England
IPA,"Crate Brewery","English IPA",5.8,0,,,,,,,3.5,"2014-05-17 20:44:44",https://untappd.com/c/86516570,https://untappd.com/beer/208528,https://untappd.com/brewery/34365,England
"Fanny Parkes Anglo Indian Pale Ale",Pezbraü,"English IPA",4.9,52,,,,,,,4,"2014-05-17 21:46:14",https://untappd.com/c/86546483,https://untappd.com/beer/674487,https://untappd.com/brewery/50721,England
"Pale Ale","East London Brewing Company ","English Pale Ale",4,0,,,,,,,3,"2014-05-17 21:52:26",https://untappd.com/c/86549578,https://untappd.com/beer/82688,https://untappd.com/brewery/19832,England
"Old Empire","Marston's Beer Co","English IPA",5.7,0,"Skunked. Well done Marston's.",,,,,,0.5,"2014-05-20 21:05:41",https://untappd.com/c/87178703,https://untappd.com/beer/15040,https://untappd.com/brewery/1517,England
"King Goblin","Wychwood Brewery","English Strong Ale",6.6,0,"S'alright this.",,,,,,3,"2014-05-20 21:45:02",https://untappd.com/c/87182658,https://untappd.com/beer/15490,https://untappd.com/brewery/1376,England
Piledriver,"Wychwood Brewery","English Bitter",4.3,0,"Pleasant enough malty backbone to start, but the finish is sadly lacking. Kinda like The Quo themselves",,,,,,2.5,"2014-05-24 21:22:03",https://untappd.com/c/88060524,https://untappd.com/beer/584779,https://untappd.com/brewery/1376,England
"Black Wych","Wychwood Brewery",Porter,5,0,"Second Wychwood beer of the night: A perfectly serviceable porter",,,,,,4,"2014-05-24 22:15:42",https://untappd.com/c/88086226,https://untappd.com/beer/1598,https://untappd.com/brewery/1376,England
